"ORDEPCIA,N,6,0","CODIPCIA,C,1","DESCPCIA,C,20","ALI1PCIA,N,5,2","ALI2PCIA,N,5,2","ALI3PCIA,N,5,2","ALI4PCIA,N,5,2"
1,A,SALTA,0,0,0,0
2,B,BUENOS AIRES,0,0,0,0
3,C,CAPITAL FEDERAL,,,,
4,D,SAN LUIS,0,0,0,0
5,E,ENTRE RÍOS,0,0,0,0
6,F,LA RIOJA,0,0,0,0
7,G,SANTIAGO DEL ESTERO,0,0,0,0
8,H,CHACO,0,0,0,0
9,J,SAN JUAN,0,0,0,0
10,K,CATAMARCA,0,0,0,0
11,L,LA PAMPA,0,0,0,0
12,M,MENDOZA,0,0,0,0
13,N,MISIONES,0,0,0,0
14,P,FORMOSA,0,0,0,0
15,Q,NEUQUÉN,0,0,0,0
16,R,RÍO NEGRO,0,0,0,0
17,S,SANTA FE,0,0,0,0
18,T,TUCUMÁN,0,0,0,0
19,U,CHUBUT,0,0,0,0
20,V,TIERRA DEL FUEGO,0,0,0,0
21,W,CORRIENTES,0,0,0,0
22,X,CÓRDOBA,0,0,0,0
23,Y,JUJUY,0,0,0,0
24,Z,SANTA CRUZ,0,0,0,0